Min of_Score (%),Max of_Score (%),Label,Count
0,0.03,0-0.03,"16,305,829"
0.03,0.06,0.03-0.06,0
0.06,0.09,0.06-0.09,0
0.09,0.13,0.09-0.13,0
0.13,0.16,0.13-0.16,"2,380,277"
0.16,0.19,0.16-0.19,0
0.19,0.22,0.19-0.22,0
0.22,0.25,0.22-0.25,0
0.25,0.28,0.25-0.28,0
0.28,0.31,0.28-0.31,"3,353,530"
0.31,0.34,0.31-0.34,0
0.34,0.38,0.34-0.38,0
0.38,0.41,0.38-0.41,0
0.41,0.44,0.41-0.44,0
0.44,0.47,0.44-0.47,0
0.47,0.5,0.47-0.5,0
0.5,0.53,0.5-0.53,"14,621,120"
0.53,0.56,0.53-0.56,0
0.56,0.59,0.56-0.59,0
0.59,0.63,0.59-0.63,0
0.63,0.66,0.63-0.66,"112,829,405"
0.66,0.69,0.66-0.69,0
0.69,0.72,0.69-0.72,15
0.72,0.75,0.72-0.75,0
0.75,0.78,0.75-0.78,0
0.78,0.81,0.78-0.81,0
0.81,0.84,0.81-0.84,0
0.84,0.88,0.84-0.88,0
0.88,0.91,0.88-0.91,0
0.91,0.94,0.91-0.94,0
0.94,0.97,0.94-0.97,0
0.97,1,0.97-1,"163,918,524"
