Min of_Score (%),Max of_Score (%),Label,Count
0,0.03,0-0.03,"14,714,380"
0.03,0.06,0.03-0.06,"567,531"
0.06,0.09,0.06-0.09,"1,331,398"
0.09,0.12,0.09-0.12,"1,408,511"
0.12,0.16,0.12-0.16,"617,751"
0.16,0.19,0.16-0.19,"642,226"
0.19,0.22,0.19-0.22,"2,461,281"
0.22,0.25,0.22-0.25,"6,392,312"
0.25,0.28,0.25-0.28,"4,037,646"
0.28,0.31,0.28-0.31,"2,577,892"
0.31,0.34,0.31-0.34,"9,392,005"
0.34,0.37,0.34-0.37,"7,430,402"
0.37,0.41,0.37-0.41,"9,505,941"
0.41,0.44,0.41-0.44,"11,893,974"
0.44,0.47,0.44-0.47,"16,013,064"
0.47,0.5,0.47-0.5,"18,165,595"
0.5,0.53,0.5-0.53,"19,274,910"
0.53,0.56,0.53-0.56,"19,242,293"
0.56,0.59,0.56-0.59,"20,900,703"
0.59,0.62,0.59-0.62,"20,708,098"
0.62,0.65,0.62-0.65,"21,106,571"
0.65,0.69,0.65-0.69,"21,558,216"
0.69,0.72,0.69-0.72,"20,422,610"
0.72,0.75,0.72-0.75,"19,600,604"
0.75,0.78,0.75-0.78,"15,795,891"
0.78,0.81,0.78-0.81,"12,374,256"
0.81,0.84,0.81-0.84,"7,126,046"
0.84,0.87,0.84-0.87,"4,244,662"
0.87,0.9,0.87-0.9,"2,139,731"
0.9,0.94,0.9-0.94,"1,236,560"
0.94,0.97,0.94-0.97,"492,157"
0.97,1,0.97-1,"33,483"
