Min of_Score (%),Max of_Score (%),Label,Count
0,0.03,0-0.03,"14,081,731"
0.03,0.06,0.03-0.06,"909,092"
0.06,0.09,0.06-0.09,0
0.09,0.13,0.09-0.13,"2,494,472"
0.13,0.16,0.13-0.16,"509,143"
0.16,0.19,0.16-0.19,"91,397"
0.19,0.22,0.19-0.22,"13,868,268"
0.22,0.25,0.22-0.25,0
0.25,0.28,0.25-0.28,"9,555,418"
0.28,0.31,0.28-0.31,"30,953"
0.31,0.34,0.31-0.34,0
0.34,0.38,0.34-0.38,"47,819,670"
0.38,0.41,0.38-0.41,"284,558"
0.41,0.44,0.41-0.44,0
0.44,0.47,0.44-0.47,"36,433,277"
0.47,0.5,0.47-0.5,0
0.5,0.53,0.5-0.53,"83,270"
0.53,0.56,0.53-0.56,"248,997"
0.56,0.59,0.56-0.59,0
0.59,0.63,0.59-0.63,"36,204,823"
0.63,0.66,0.63-0.66,"2,554"
0.66,0.69,0.66-0.69,583
0.69,0.72,0.69-0.72,"11,237"
0.72,0.75,0.72-0.75,0
0.75,0.78,0.75-0.78,"98,540,923"
0.78,0.81,0.78-0.81,"92,511"
0.81,0.84,0.81-0.84,0
0.84,0.88,0.84-0.88,"8,045"
0.88,0.91,0.88-0.91,"49,820"
0.91,0.94,0.91-0.94,741
0.94,0.97,0.94-0.97,0
0.97,1,0.97-1,"52,087,217"
