Min of_Score (%),Max of_Score (%),Label,Count
0,0.03,0-0.03,"15,348,846"
0.03,0.06,0.03-0.06,"2,366,988"
0.06,0.09,0.06-0.09,"5,443,606"
0.09,0.12,0.09-0.12,"21,233,041"
0.12,0.15,0.12-0.15,"9,047,372"
0.15,0.19,0.15-0.19,"11,487,073"
0.19,0.22,0.19-0.22,"7,776,715"
0.22,0.25,0.22-0.25,"10,791,482"
0.25,0.28,0.25-0.28,"15,361,786"
0.28,0.31,0.28-0.31,"11,296,220"
0.31,0.34,0.31-0.34,"16,222,951"
0.34,0.37,0.34-0.37,"15,416,896"
0.37,0.4,0.37-0.4,"16,138,215"
0.4,0.43,0.4-0.43,"10,980,219"
0.43,0.46,0.43-0.46,"11,472,736"
0.46,0.49,0.46-0.49,"21,061,857"
0.49,0.53,0.49-0.53,"19,212,302"
0.53,0.56,0.53-0.56,"19,136,402"
0.56,0.59,0.56-0.59,"13,690,741"
0.59,0.62,0.59-0.62,"2,771,169"
0.62,0.65,0.62-0.65,"10,289,269"
0.65,0.68,0.65-0.68,"3,959,010"
0.68,0.71,0.68-0.71,"18,890,851"
0.71,0.74,0.71-0.74,"3,656,374"
0.74,0.77,0.74-0.77,"4,121,911"
0.77,0.8,0.77-0.8,"6,331,082"
0.8,0.84,0.8-0.84,"1,098,608"
0.84,0.87,0.84-0.87,"45,258"
0.87,0.9,0.87-0.9,"3,346,102"
0.9,0.93,0.9-0.93,26
0.93,0.96,0.93-0.96,25
0.96,0.99,0.96-0.99,"5,413,567"
